epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1536.72,1.16962,4.17779,1.38736,0.61237,0.17815,0.12445,0.09386,1.09204,3.64364,1.33882,0.00998058,0.00332686,0.00998058,0.00332686,0.00998058,0.00332686,0.00998058,0.00332686
2,2928.68,1.22534,2.64118,1.39102,0.44506,0.29873,0.25404,0.1795,1.12286,2.9994,1.35498,0.019585,0.00652832,0.019585,0.00652832,0.019585,0.00652832,0.019585,0.00652832
3,4212.61,1.24605,2.41887,1.37656,0.349,0.24221,0.1682,0.109,1.32421,3.48721,1.46775,0.0287934,0.00959778,0.0287934,0.00959778,0.0287934,0.00959778,0.0287934,0.00959778
4,5516.85,1.25811,2.38246,1.37385,0.44673,0.26395,0.22326,0.16344,1.22152,3.24612,1.38994,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,6829.14,1.21002,2.17736,1.34741,0.57633,0.32496,0.32263,0.23658,1.15864,2.78637,1.34795,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,8110.81,1.17712,2.04064,1.33155,0.34919,0.3696,0.30973,0.23183,1.09741,2.72802,1.29933,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,9397.09,1.14312,1.92236,1.31007,0.41609,0.46418,0.42138,0.31626,1.07479,2.20038,1.28236,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,10684.4,1.13079,1.83177,1.30138,0.48728,0.44657,0.44685,0.3468,1.03036,2.18605,1.24914,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,11994.6,1.09799,1.73676,1.2854,0.57608,0.46491,0.46753,0.35937,1.03169,1.9349,1.25029,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,13353,1.08979,1.69229,1.27835,0.57611,0.48699,0.4916,0.38359,1.00432,1.85713,1.23506,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,14775.2,1.07769,1.61367,1.27059,0.578,0.48286,0.50935,0.40177,0.98162,1.8468,1.20773,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,16078.6,1.05797,1.55266,1.26094,0.54192,0.51879,0.51734,0.40661,0.98663,1.81147,1.21552,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,17317,1.05372,1.5224,1.25987,0.56788,0.53538,0.53277,0.41899,0.98821,1.77941,1.21712,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,18556.3,1.03968,1.48233,1.25034,0.52489,0.54807,0.5546,0.43854,0.95392,1.60178,1.18651,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
